condition,method,planned_n,fn,fp,f1_percent,read_assignment_accuracy_percent,workflow_seconds,f1_percent_sd
random_mixed,hamming,60,124.91666666666667,18.3,99.28004421615447,99.99707669048487,1.3984363959971233,0.07578494283112941
random_mixed,lv,60,124.9,18.25,99.28037812598556,99.99708332612155,1.7611077709952951,0.07519922948128965
random_mixed,shepherd_documented,60,126.53333333333333,19.833333333333332,99.26420603485042,99.996494925988,4.674886895511008,0.07659133362899813
random_mixed,starcode_sphere,60,129.71666666666667,22.316666666666666,99.23569378451958,99.9825203206567,3.285018750000745,0.07968587832258942
random_mixed,starcode_mp,60,118.18333333333334,142.98333333333332,98.69582264567114,99.98393445501334,3.217145791495568,0.11115894999612413
random_mixed,bartender,60,125.16666666666667,48.03333333333333,99.13062927132582,99.93097156114925,1.8876703750065644,0.09210046918130683
anchored_mixed,hamming,60,127.7,24.9,99.23302032656767,99.99313735169105,1.5184069165043184,0.07355292366252848
anchored_mixed,lv,60,127.66666666666667,24.083333333333332,99.2372620679539,99.99425748767104,2.0541687500008265,0.07405782169055358
anchored_mixed,shepherd_documented,60,129.65,25.05,99.22239372331866,99.99381774870643,13.452378395501,0.07957544848642763
anchored_mixed,starcode_sphere,60,132.63333333333333,27.65,99.1943133910594,99.98658321468238,3.7744777289917693,0.08291446358252526
anchored_mixed,starcode_mp,60,119.95,191.83333333333334,98.44673617788146,99.97917393191614,3.6670016040006885,0.13842733014448
anchored_mixed,bartender,60,127.73333333333333,137.96666666666667,98.67217617173795,99.90664898190545,2.3141273750079563,0.0785529254631676
milos,hamming,1,469,87,99.72146800388742,99.99908785872756,17.497622625000076,
milos,lv,1,471,83,99.72246157545638,99.99947591883031,33.64522941700125,
milos,shepherd_documented,1,470,85,99.72196478220575,99.99913186554333,165.22768520801037,
milos,starcode_sphere,1,771,353,99.43682295998637,99.8478804397225,170.682208541999,
milos,starcode_mp,1,532,560,99.4540764292999,99.98178917950813,193.38634170799924,
milos,bartender,1,496,795,99.35546358194499,99.93534198576675,41.77313162499922,
